Org.;C.Gestor;Pro.;Eco.;Descripción;Créditos Iniciales;Modificaciones de Crédito;Créditos Totales consignados;Saldo de Créditos Retenidos pdtes de utilización;Saldo de Créditos Retenidos para Trans.;Saldo de Acuerd. Créd. para No Disponibil.;Saldo de Gastos Autorizados;Saldo de Gastos Compromet.;Saldo de Obligaciones Reconocidas;Saldo de Pagos Ordenados;Pagos Realizados;Total gastado;Saldo de Créditos disponibles;Saldo de Créditos disp. a nivel de Vinculación;% de Realizacion del Presupuesto;Facturas consumen disp. Pend. Contabilizar;Saldo de Crédito Disponible Real;Gasto Pendiente Aplicar a Presupuesto;Gastado en Fase Definitiva;Capítulo
00;SC-SC - SERVICIOS CENTRALES (2019;15220;60905;Fondo Estatal para el Empleo y Sostenibilidad Local;352.917,76;0,00;352.917,76;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;352.917,76;352.917,76;0,00%;0,00;352.917,76;0,00;0,00;6
00;CO-SC - COMUNICACIÓN (2019);49111;12005;Sueldos del Grupo E-Servicio de Radio y Tv municipal;8.757,82;503,65;9.261,47;0,00;0,00;0,00;0,00;0,00;0,00;0,00;5.440,94;5.440,94;3.820,53;2.262.679,21;58,75%;0,00;3.820,53;0,00;5.440,94;1
00;CO-SC - COMUNICACIÓN (2019);49111;12006;Trienios-Servicio de Radio y Tv municipal;1.815,00;43,90;1.858,90;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1.092,08;1.092,08;766,82;2.262.679,21;58,75%;0,00;766,82;0,00;1.092,08;1
00;CO-SC - COMUNICACIÓN (2019);49111;12100;Complemento de destino-Servicio de Radio y Tv municipal;3.733,92;90,24;3.824,16;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2.244,79;2.244,79;1.579,37;2.262.679,21;58,70%;0,00;1.579,37;0,00;2.244,79;1
00;CO-SC - COMUNICACIÓN (2019);49111;12101;Complemento específico-Servicio de Radio y Tv municipal;8.033,34;899,86;8.933,20;0,00;0,00;0,00;0,00;0,00;0,00;0,00;5.386,21;5.386,21;3.546,99;2.262.679,21;60,29%;0,00;3.546,99;0,00;5.386,21;1
00;CO-SC - COMUNICACIÓN (2019);49111;12103;Otros complementos - Servicio de Radio y TV;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;182,81;182,81;-182,81;2.262.679,21; ;0,00;-182,81;0,00;182,81;1
00;CO-SC - COMUNICACIÓN (2019);49111;13101;Indefinidos no fijos en plantilla-Servicio de Radio y Tv mun;1.189.843,76;44.450,60;1.234.294,36;0,00;0,00;0,00;0,00;0,00;0,00;0,00;657.444,84;657.444,84;576.849,52;2.262.679,21;53,26%;0,00;576.849,52;0,00;657.444,84;1
00;CO-SC - COMUNICACIÓN (2019);49111;15000;Productividad-Servicio de Radio y TV municipal;1.800,00;0,00;1.800,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1.784,42;1.784,42;15,58;2.262.679,21;99,13%;0,00;15,58;0,00;1.784,42;1
00;CO-SC - COMUNICACIÓN (2019);49111;15100;Gratificaciones-Servicio de Radio y TV municipal;18.903,36;1.649,79;20.553,15;0,00;0,00;0,00;0,00;0,00;0,00;0,00;80.009,73;80.009,73;-59.456,58;2.262.679,21;389,28%;0,00;-59.456,58;0,00;80.009,73;1
00;CO-SC - COMUNICACIÓN (2019);49111;16000;Seguridad Social-Servicio de Radio y TV municipal;414.670,91;7.244,58;421.915,49;0,00;0,00;0,00;0,00;0,00;183,14;0,00;228.074,11;228.257,25;193.658,24;2.262.679,21;54,10%;0,00;193.658,24;0,00;228.257,25;1
00;CO-SC - COMUNICACIÓN (2019);49111;16204;Acción social-Servicio de Radio y TV municipal;149.349,12;0,00;149.349,12;0,00;0,00;0,00;0,00;0,00;0,00;0,00;71.083,03;71.083,03;78.266,09;2.262.679,21;47,60%;0,00;78.266,09;0,00;71.083,03;1
00;CO-SC - COMUNICACIÓN (2019);49111;20300;Arrendam. de maquin., instalaciones y utill-Serv Radio y TV;800,00;0,00;800,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;800,00;37.800,78;0,00%;0,00;800,00;0,00;0,00;2
